kappa,system,N,relative_loss_percent
3.23511,H1,27,58.16493094119197
3.23511,H1,28,59.1233138053669
3.23511,H1,29,60.03412567940647
3.23511,H1,30,60.90092879180109
3.23511,H5,2,29.440438659036094
3.23511,H5,3,17.14994517787559
3.23511,H5,4,10.005310163254876
3.23511,H5,5,5.58445789999531
3.23511,H5,6,2.837291205529302
3.23511,H5,7,1.1981970709699308
3.23511,H5,8,0.3260025799447064
3.23511,H5,9,0.0
3.23511,H5,10,0.0704541573705364
3.23511,H5,11,0.43222319550515476
3.23511,H5,12,1.009536087165197
3.23511,H5,13,1.7466757011140532
3.23511,H5,14,2.6020118298165196
3.23511,H5,15,3.5440395997375695
3.23511,H5,16,4.5486711608513914
3.23511,H5,17,5.597338674372154
3.23511,H5,18,6.67563810188766
3.23511,H5,19,7.772342528876141
3.23511,H5,20,8.878673411514736
3.23511,H5,21,9.987755187585512
3.23511,H5,22,11.09420236048263
3.23511,H5,23,12.19380365863849
3.23511,H5,24,13.28327823507669
3.23511,H5,25,14.360085935693744
3.23511,H5,26,15.422278562707092
3.23511,H5,27,16.468382507838143
3.23511,H5,28,17.497305590958547
3.23511,H5,29,18.50826271868975
3.23511,H5,30,19.500716277732376
4.45444,H1,2,1.8550893218604814
4.45444,H1,3,0.0
4.45444,H1,4,2.985459759369624
4.45444,H1,5,7.23342928619325
4.45444,H1,6,11.676465618104492
4.45444,H1,7,15.950905539500493
4.45444,H1,8,19.93673640064342
4.45444,H1,9,23.606947751647855
4.45444,H1,10,26.97102523316477
4.45444,H1,11,30.051992355394
4.45444,H1,12,32.8766927028013
4.45444,H1,13,35.471667248209
4.45444,H1,14,37.861500678614355
4.45444,H1,15,40.06827965525197
4.45444,H1,16,42.111548390840134
4.45444,H1,17,44.00847561001384
4.45444,H1,18,45.77409845976666
4.45444,H1,19,47.421580825934406
4.45444,H1,20,48.962458240016026
4.45444,H1,21,50.406858425430244
4.45444,H1,22,51.76369462656706
4.45444,H1,23,53.040832598052745
4.45444,H1,24,54.245233693325986
4.45444,H1,25,55.38307698376168
4.45444,H1,26,56.45986332313135
4.45444,H1,27,57.48050403256841
4.45444,H1,28,58.449396561975234
4.45444,H1,29,59.370489154998985
4.45444,H1,30,60.2473362382721
4.45444,H5,2,29.562900799760282
4.45444,H5,3,17.267076543206063
4.45444,H5,4,10.106321332514124
4.45444,H5,5,5.665407057176742
4.45444,H5,6,2.897069434124766
4.45444,H5,7,1.2370427096698666
4.45444,H5,8,0.3448174176986285
4.45444,H5,9,0.0
4.45444,H5,10,0.05298119520720235
4.45444,H5,11,0.39864119610739657
4.45444,H5,12,0.961173857230968
4.45444,H5,13,1.6847964997340537
4.45444,H5,14,2.5277985588281093
4.45444,H5,15,3.458589188190664
4.45444,H5,16,4.452994331505822
4.45444,H5,17,5.4923627897511595
4.45444,H5,18,6.562211684254793
4.45444,H5,19,7.651240592962494
4.45444,H5,20,8.75060308478317
4.45444,H5,21,9.853361302533903
4.45444,H5,22,10.95407283532348
4.45444,H5,23,12.048474565764533
4.45444,H5,24,13.133238508902856
4.45444,H5,25,14.205781703915822
4.45444,H5,26,15.264117104791609
4.45444,H5,27,16.3067358561786
4.45444,H5,28,17.332513796513314
4.45444,H5,29,18.34063680595648
4.45444,H5,30,19.330540914848072
