kappa,system,n,N,q_star,p_at_q_star,cost_at_q_star,eta_star,eta_q_Nplus1,eta_q_Nplus2,rel_eta_qN2_vs_qN1
1.0,H4,150,6,2,20.80776406404415,2713750.0,1.1184988261145315e-06,9.364735903342976e-07,8.891081389461383e-07,-0.05057852338500124
1.0,H5,200,2,3,10.898979485566356,4058600.0,5.885451041429529e-07,5.885451041429529e-07,5.713242345412533e-07,-0.02926006771694567
1.0,H5,200,3,4,19.165151389911678,4871000.0,6.062602336465411e-07,6.062602336465411e-07,5.84728605156677e-07,-0.03551548872066923
1.0,H5,200,4,3,19.69535971483266,5043400.0,5.909471904921e-07,5.781215659621574e-07,5.544745753713552e-07,-0.04090314560649022
1.0,H5,200,5,3,23.747340124470732,5535800.0,5.72179365123314e-07,5.338137284642371e-07,5.102981977167932e-07,-0.04405194076798513
1.0,H5,200,6,2,20.80776406404415,5468200.0,5.550869005099136e-07,4.857527769703465e-07,4.6365415313124805e-07,-0.04549356151276829
1.298,H1,20,2,2,8.531128874149275,14170.259999999998,0.00015128315883988902,0.00014399861344759502,0.00012921665633304773,-0.10265346839556089
1.298,H1,20,3,2,11.65685424949238,18268.14,0.0001344359280473563,0.0001194819187909728,0.00010863862299570971,-0.09075260846984601
1.298,H1,20,4,2,14.72841614740048,22366.019999999997,0.0001202618391228532,9.804540355460102e-05,8.995158567038253e-05,-0.08255173206269761
1.298,H1,20,5,2,17.774964387392124,26463.899999999998,0.00010874402382736689,8.1292874115163e-05,7.512793161772312e-05,-0.07583619800065566
1.298,H1,20,6,2,20.80776406404415,30561.78,9.931771609403346e-05,6.833886577807084e-05,6.354755697568135e-05,-0.0701110378089852
1.298,H2,50,2,2,8.531128874149275,121149.15000000001,1.7694896698677005e-05,1.7538744661925547e-05,1.6238547345230642e-05,-0.07413286080374237
1.298,H2,50,3,2,11.65685424949238,149193.85,1.6461096450014737e-05,1.559899646692239e-05,1.4497243022755408e-05,-0.07062976432511181
1.298,H2,50,4,2,14.72841614740048,177238.55,1.5176036472079675e-05,1.3381003436133356e-05,1.2473335724154239e-05,-0.06783255951703138
1.298,H2,50,5,2,17.774964387392124,205283.25,1.4018635091587132e-05,1.1435229354734902e-05,1.0695411207050473e-05,-0.0646963978364018
1.298,H2,50,6,2,20.80776406404415,233327.94999999998,1.3008840944123112e-05,9.82342304862149e-06,9.219950489602316e-06,-0.061432003491273646
1.298,H3,100,2,3,10.898979485566356,681592.2999999999,3.504542465744682e-06,3.504542465744682e-06,3.3112511129761344e-06,-0.05515451864483967
1.298,H3,100,3,3,15.615773105863909,804711.5,3.4152382561594127e-06,3.3374673800223046e-06,3.1455790496152294e-06,-0.05749519277872095
1.298,H3,100,4,2,14.72841614740048,827681.7,3.249774278032868e-06,2.994512557426534e-06,2.818423361324169e-06,-0.058803959818320095
1.298,H3,100,5,2,17.774964387392124,930771.1,3.0918353311196e-06,2.6381962099248326e-06,2.484016448854823e-06,-0.05844135492651725
