family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,100,0.10000000000000042,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003084,3.2749999999999956e-05,0.0002946,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.10000000000000042,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003438,2.440000000000005e-05,0.00032980000000000005,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.10000000000000042,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003042,1.4800000000000034e-05,0.00029380000000000004,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.10000000000000042,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003399,1.6750000000000055e-05,0.00032910000000000003,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.10000000000000042,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003042,1.4700000000000086e-05,0.0002931,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.3000000000000004,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00034050000000000004,2.0849999999999992e-05,0.0003309,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.3000000000000004,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003016,1.184999999999999e-05,0.0002943,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.3000000000000004,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00034,1.2799999999999986e-05,0.00033160000000000004,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.3000000000000004,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002992,8.000000000000032e-06,0.0002943,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.3000000000000004,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003443,3.845000000000004e-05,0.0003323,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.3000000000000004,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00030920000000000003,2.1699999999999985e-05,0.0002949,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.5999999999999996,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.000346,1.544999999999997e-05,0.0003321,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.5999999999999996,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003009,9.949999999999998e-06,0.000297,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.5999999999999996,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00034500000000000004,2.6300000000000043e-05,0.00033200000000000005,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.5999999999999996,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003041,2.0850000000000046e-05,0.0002943,907800.0,910899.2,915080.0,931045.1440000001
G1,100,0.5999999999999996,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00033870000000000005,1.4349999999999996e-05,0.0003331,694500.0,696302.8999999999,698735.0,708022.4155000001
G1,100,0.5999999999999996,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00030070000000000004,1.0000000000000026e-05,0.0002929,907800.0,910899.2,915080.0,931045.1440000001
