system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.6,P,8,2,1,0.0,0.0,17,2,2,17,0.0003319,7.649999999999996e-06,0.0003216,34840.0,35054.56,35344.0,36449.279200000004
H1,20,0.6,P,9,1,1,4.8770202280689305e-14,1.18635850070662e-14,10,1,1,9,0.0001842,5.14999999999999e-06,0.0001776,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.6,P,10,1,1,1.786950127886157e-15,4.263892432392673e-16,11,1,1,10,0.0001969,7.549999999999994e-06,0.0001934,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.6,P,11,1,1,0.0,0.0,12,1,1,11,0.0002153,6.399999999999993e-06,0.0002096,22760.0,22882.18,23047.0,23676.3951
H1,20,0.6,P,12,1,1,0.0,0.0,13,1,1,12,0.0002312,1.2150000000000024e-05,0.0002242,24400.0,24528.14,24701.0,25361.0973
H1,20,0.6,P,13,1,1,0.0,0.0,14,1,1,13,0.0002492,1.675e-05,0.000241,26040.0,26174.1,26355.0,27045.7995
H1,20,0.6,P,14,1,1,0.0,0.0,15,1,1,14,0.0002649,1.0250000000000004e-05,0.0002568,27680.0,27820.059999999998,28009.0,28730.5017
H1,20,0.6,P,15,1,1,0.0,0.0,16,1,1,15,0.0002795,8.850000000000025e-06,0.0002727,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.6,P,16,1,1,0.0,0.0,17,1,1,16,0.0002972,1.2100000000000025e-05,0.0002872,30960.0,31111.98,31317.0,32099.9061
H1,20,0.6,P,17,1,1,0.0,0.0,18,1,1,17,0.0003136,2.5299999999999964e-05,0.0003031,32600.0,32757.94,32971.0,33784.6083
H1,20,0.6,P,18,1,1,0.0,0.0,19,1,1,18,0.0003287,9.650000000000045e-06,0.0003184,34240.0,34403.9,34625.0,35469.3105
H1,20,0.6,P,19,1,1,0.0,0.0,20,1,1,19,0.0003447,8.649999999999966e-06,0.0003362,35880.0,36049.86,36279.0,37154.0127
H1,20,0.6,P,20,1,1,0.0,0.0,21,1,1,20,0.0003588,9.900000000000024e-06,0.0003506,37520.0,37695.82,37933.0,38838.7149
H1,20,0.6,S,1,4,1,0.0,0.0,5,4,4,4,0.0001766,7.949999999999976e-06,0.0001704,21720.0,21970.32,22308.0,23597.4924
H1,20,0.6,S,2,2,1,2.2261229582345946e-13,5.4650220918731844e-14,5,2,2,4,0.0001293,3.950000000000015e-06,0.0001244,14760.0,14897.08,15082.0,15788.1506
H1,20,0.6,S,3,2,1,0.0,0.0,7,2,2,6,0.0001629,4.999999999999986e-06,0.0001561,18040.0,18189.0,18390.0,19157.555
H1,20,0.6,S,4,2,1,0.0,0.0,9,2,2,8,0.0001945,6.800000000000003e-06,0.0001884,21320.0,21480.92,21698.0,22526.959400000003
H1,20,0.6,S,5,2,1,0.0,0.0,11,2,2,10,0.0002274,1.1350000000000005e-05,0.0002201,24600.0,24772.839999999997,25006.0,25896.363800000003
H1,20,0.6,S,6,2,1,0.0,0.0,13,2,2,12,0.0002605,7.749999999999944e-06,0.0002535,27880.0,28064.76,28314.0,29265.768200000002
H1,20,0.6,S,7,2,1,0.0,0.0,15,2,2,14,0.0002925,1.0699999999999987e-05,0.0002836,31160.0,31356.679999999997,31622.0,32635.1726
H1,20,0.6,S,8,2,1,0.0,0.0,17,2,2,16,0.0003246,1.169999999999996e-05,0.0003143,34440.0,34648.6,34930.0,36004.577000000005
H1,20,0.6,S,9,1,1,4.8770202280689305e-14,1.18635850070662e-14,10,1,1,9,0.0001837,8.599999999999992e-06,0.000179,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.6,S,10,1,1,1.786950127886157e-15,4.263892432392673e-16,11,1,1,10,0.0002006,6.7e-06,0.0001943,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.6,S,11,1,1,0.0,0.0,12,1,1,11,0.0002177,9.05000000000003e-06,0.000209,22760.0,22882.18,23047.0,23676.3951
H1,20,0.6,S,12,1,1,0.0,0.0,13,1,1,12,0.0002333,7.000000000000008e-06,0.0002259,24400.0,24528.14,24701.0,25361.0973
H1,20,0.6,S,13,1,1,0.0,0.0,14,1,1,13,0.0002504,9.149999999999978e-06,0.0002414,26040.0,26174.1,26355.0,27045.7995
H1,20,0.6,S,14,1,1,0.0,0.0,15,1,1,14,0.0002631,7.850000000000001e-06,0.0002554,27680.0,27820.059999999998,28009.0,28730.5017
H1,20,0.6,S,15,1,1,0.0,0.0,16,1,1,15,0.0002797,9.149999999999978e-06,0.0002727,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.6,S,16,1,1,0.0,0.0,17,1,1,16,0.0002972,9.350000000000038e-06,0.0002879,30960.0,31111.98,31317.0,32099.9061
H1,20,0.6,S,17,1,1,0.0,0.0,18,1,1,17,0.0003151,1.3550000000000031e-05,0.0003042,32600.0,32757.94,32971.0,33784.6083
H1,20,0.6,S,18,1,1,0.0,0.0,19,1,1,18,0.0003271,1.064999999999996e-05,0.0003208,34240.0,34403.9,34625.0,35469.3105
H1,20,0.6,S,19,1,1,0.0,0.0,20,1,1,19,0.0003463,1.5699999999999948e-05,0.0003348,35880.0,36049.86,36279.0,37154.0127
H1,20,0.6,S,20,1,1,0.0,0.0,21,1,1,20,0.0003635,2.034999999999998e-05,0.0003528,37520.0,37695.82,37933.0,38838.7149
H5,200,0.5999999999999995,P,2,2,1,0.0,0.0,5,2,2,5,0.0018099,0.0001748,0.0016867,6331400.0,6343677.600000001,6360240.0,6423486.532
H5,200,0.5999999999999995,P,3,2,1,0.0,0.0,7,2,2,7,0.0018709,0.00022045,0.0017556,6663800.0,6676196.800000001,6692920.0,6756780.575999999
H5,200,0.5999999999999995,P,4,2,1,0.0,0.0,9,2,2,9,0.0019739,0.0001945,0.0018233,6996200.0,7008716.000000001,7025600.0,7090074.619999999
H5,200,0.5999999999999995,P,5,2,1,0.0,0.0,11,2,2,11,0.0020681,0.0002374,0.0019417,7328600.0,7341235.2,7358280.0,7423368.663999999
H5,200,0.5999999999999995,P,6,1,1,7.881884111433416e-15,1.967320211922957e-15,7,1,1,6,0.0010562,0.0001191,0.0010245,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.5999999999999995,P,7,1,1,0.0,0.0,8,1,1,7,0.0011215,0.0001304,0.0010402,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.5999999999999995,P,8,1,1,0.0,0.0,9,1,1,8,0.0011684,0.0001497499999999,0.0010686,4206000.0,4212466.600000001,4221190.0,4254501.887
H5,200,0.5999999999999995,P,9,1,1,0.0,0.0,10,1,1,9,0.0012037,0.0001275499999999,0.001144,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.5999999999999995,P,10,1,1,0.0,0.0,11,1,1,10,0.0012846,0.000123,0.0012043,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.5999999999999995,P,11,1,1,0.0,0.0,12,1,1,11,0.001303,0.0001313999999999,0.0012175,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.5999999999999995,P,12,1,1,0.0,0.0,13,1,1,12,0.0013913,0.0001429499999999,0.0012849,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.5999999999999995,P,13,1,1,0.0,0.0,14,1,1,13,0.0013974,0.0002038999999999,0.0013152,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.5999999999999995,P,14,1,1,0.0,0.0,15,1,1,14,0.0014394,0.0001425499999999,0.0013706,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.5999999999999995,P,15,1,1,0.0,0.0,16,1,1,15,0.001519,0.00013075,0.0014068,5369400.0,5376283.800000001,5385570.0,5421031.040999999
H5,200,0.5999999999999995,P,16,1,1,0.0,0.0,17,1,1,16,0.0015302,0.0001546,0.0014494,5535600.0,5542543.4,5551910.0,5587678.062999999
H5,200,0.5999999999999995,P,17,1,1,0.0,0.0,18,1,1,17,0.0016138,0.0001646,0.0014733,5701800.0,5708803.000000001,5718250.0,5754325.084999999
H5,200,0.5999999999999995,P,18,1,1,0.0,0.0,19,1,1,18,0.0016235,0.000154,0.00153,5868000.0,5875062.600000001,5884590.0,5920972.106999999
H5,200,0.5999999999999995,P,19,1,1,0.0,0.0,20,1,1,19,0.0016664,0.0001797499999999,0.0015855,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.5999999999999995,P,20,1,1,0.0,0.0,21,1,1,20,0.0017174,0.0001004999999999,0.0016386,6200400.0,6207581.800000001,6217270.0,6254266.150999999
H5,200,0.5999999999999995,S,1,3,1,0.0,0.0,4,3,3,3,0.0023938,0.0001693999999999,0.0022471,8875400.0,8893548.200000001,8918030.0,9011518.199
H5,200,0.5999999999999995,S,2,2,1,0.0,0.0,5,2,2,4,0.0016932,0.0002796,0.0016082,6291400.0,6303618.000000001,6320100.0,6383039.51
H5,200,0.5999999999999995,S,3,2,1,0.0,0.0,7,2,2,6,0.0018575,0.0002785999999999,0.0017346,6623800.0,6636137.2,6652780.0,6716333.554
H5,200,0.5999999999999995,S,4,2,1,0.0,0.0,9,2,2,8,0.0019028,0.00024495,0.0018248,6956200.0,6968656.4,6985460.0,7049627.597999999
H5,200,0.5999999999999995,S,5,2,1,0.0,0.0,11,2,2,10,0.0020096,0.0001405,0.0018933,7288600.0,7301175.600000001,7318140.0,7382921.641999999
H5,200,0.5999999999999995,S,6,1,1,7.881884111433416e-15,1.967320211922957e-15,7,1,1,6,0.0010743,0.0001334999999999,0.001009,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.5999999999999995,S,7,1,1,0.0,0.0,8,1,1,7,0.0011337,0.0001744999999999,0.0010598,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.5999999999999995,S,8,1,1,0.0,0.0,9,1,1,8,0.0011541,0.00017115,0.0010826,4206000.0,4212466.600000001,4221190.0,4254501.887
H5,200,0.5999999999999995,S,9,1,1,0.0,0.0,10,1,1,9,0.0012599,0.0001494,0.0011315,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.5999999999999995,S,10,1,1,0.0,0.0,11,1,1,10,0.0012533,0.0001116999999999,0.0011868,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.5999999999999995,S,11,1,1,0.0,0.0,12,1,1,11,0.0013045,0.00014495,0.001239,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.5999999999999995,S,12,1,1,0.0,0.0,13,1,1,12,0.0013681,0.0001333999999999,0.0012828,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.5999999999999995,S,13,1,1,0.0,0.0,14,1,1,13,0.0014214,0.0001872999999999,0.0013385,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.5999999999999995,S,14,1,1,0.0,0.0,15,1,1,14,0.0014722,0.0001978499999999,0.0013867,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.5999999999999995,S,15,1,1,0.0,0.0,16,1,1,15,0.0014714,9.700000000000008e-05,0.0013887,5369400.0,5376283.800000001,5385570.0,5421031.040999999
H5,200,0.5999999999999995,S,16,1,1,0.0,0.0,17,1,1,16,0.0015162,0.0001582499999999,0.0014783,5535600.0,5542543.4,5551910.0,5587678.062999999
H5,200,0.5999999999999995,S,17,1,1,0.0,0.0,18,1,1,17,0.0016013,0.0001209999999999,0.0014837,5701800.0,5708803.000000001,5718250.0,5754325.084999999
H5,200,0.5999999999999995,S,18,1,1,0.0,0.0,19,1,1,18,0.0016448,0.00018335,0.0015425,5868000.0,5875062.600000001,5884590.0,5920972.106999999
H5,200,0.5999999999999995,S,19,1,1,0.0,0.0,20,1,1,19,0.0016671,0.0001370999999999,0.0015932,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.5999999999999995,S,20,1,1,0.0,0.0,21,1,1,20,0.0017328,8.250000000000011e-05,0.0016282,6200400.0,6207581.800000001,6217270.0,6254266.150999999
