system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H5,200,0.0999999999999992,S,19,1,1,0.0,0.0,20,1,1,19,0.0017646,0.0001782,0.0016103,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.0999999999999992,S,20,1,1,0.0,0.0,21,1,1,20,0.0018093,0.0001536999999999,0.0016361,6200400.0,6207581.800000001,6217270.0,6254266.150999999
H1,20,0.3,P,2,2,1,0.0,0.0,5,2,2,5,0.0001429,4.04999999999999e-06,0.0001359,15160.0,15303.039999999999,15496.0,16232.8528
H1,20,0.3,P,3,2,1,0.0,0.0,7,2,2,7,0.0001769,1.1450000000000007e-05,0.0001703,18440.0,18594.96,18804.0,19602.2572
H1,20,0.3,P,4,2,1,0.0,0.0,9,2,2,9,0.0002095,3.299999999999972e-06,0.0002022,21720.0,21886.879999999997,22112.0,22971.661600000003
H1,20,0.3,P,5,2,1,0.0,0.0,11,2,2,11,0.0002444,8.050000000000033e-06,0.0002365,25000.0,25178.799999999996,25420.0,26341.066000000003
H1,20,0.3,P,6,2,1,0.0,0.0,13,2,2,13,0.0002775,1.3199999999999996e-05,0.0002675,28280.0,28470.719999999998,28728.0,29710.470400000002
H1,20,0.3,P,7,1,1,1.82663193756933e-13,4.461681801538621e-14,8,1,1,7,0.0001575,8.749999999999996e-06,0.0001531,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.3,P,8,1,1,3.168001031002357e-15,7.515818336606974e-16,9,1,1,8,0.0001731,3.2499999999999977e-06,0.0001672,17840.0,17944.3,18085.0,18622.288500000002
H1,20,0.3,P,9,1,1,0.0,0.0,10,1,1,9,0.0001911,5.649999999999975e-06,0.0001849,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.3,P,10,1,1,0.0,0.0,11,1,1,10,0.0002069,1.1299999999999977e-05,0.0002006,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.3,P,11,1,1,0.0,0.0,12,1,1,11,0.0002247,8.09999999999998e-06,0.0002169,22760.0,22882.18,23047.0,23676.3951
H1,20,0.3,P,12,1,1,0.0,0.0,13,1,1,12,0.0002416,9.05000000000003e-06,0.0002332,24400.0,24528.14,24701.0,25361.0973
H1,20,0.3,P,13,1,1,0.0,0.0,14,1,1,13,0.0002575,9.650000000000045e-06,0.0002491,26040.0,26174.1,26355.0,27045.7995
H1,20,0.3,P,14,1,1,0.0,0.0,15,1,1,14,0.0002739,9.900000000000024e-06,0.0002657,27680.0,27820.059999999998,28009.0,28730.5017
H1,20,0.3,P,15,1,1,0.0,0.0,16,1,1,15,0.0002949,1.1500000000000008e-05,0.0002818,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.3,P,16,1,1,0.0,0.0,17,1,1,16,0.0003066,1.045000000000001e-05,0.0002981,30960.0,31111.98,31317.0,32099.9061
H1,20,0.3,P,17,1,1,0.0,0.0,18,1,1,17,0.0003254,9.200000000000008e-06,0.0003147,32600.0,32757.94,32971.0,33784.6083
H1,20,0.3,P,18,1,1,0.0,0.0,19,1,1,18,0.0003424,9.600000000000017e-06,0.0003312,34240.0,34403.9,34625.0,35469.3105
H1,20,0.3,P,19,1,1,0.0,0.0,20,1,1,19,0.0003574,8.699999999999995e-06,0.0003448,35880.0,36049.86,36279.0,37154.0127
H1,20,0.3,P,20,1,1,0.0,0.0,21,1,1,20,0.0003747,7.950000000000004e-06,0.0003611,37520.0,37695.82,37933.0,38838.7149
H1,20,0.3,S,1,3,1,4.844150976163147e-15,1.2126995116409069e-15,4,3,3,3,0.0001421,3.75000000000001e-06,0.0001371,16600.0,16787.74,17041.0,18008.1193
H1,20,0.3,S,2,2,1,1.231318512612642e-16,3.103167691559092e-17,5,2,2,4,0.000136,8.449999999999989e-06,0.0001308,14760.0,14897.08,15082.0,15788.1506
H1,20,0.3,S,3,2,1,0.0,0.0,7,2,2,6,0.0001689,3.850000000000012e-06,0.0001623,18040.0,18189.0,18390.0,19157.555
H1,20,0.3,S,4,2,1,0.0,0.0,9,2,2,8,0.0002043,9.899999999999997e-06,0.0001976,21320.0,21480.92,21698.0,22526.959400000003
H1,20,0.3,S,5,2,1,0.0,0.0,11,2,2,10,0.0002359,8.300000000000012e-06,0.0002282,24600.0,24772.839999999997,25006.0,25896.363800000003
H1,20,0.3,S,6,2,1,0.0,0.0,13,2,2,12,0.000271,6.450000000000076e-06,0.0002607,27880.0,28064.76,28314.0,29265.768200000002
H1,20,0.3,S,7,1,1,1.82663193756933e-13,4.461681801538621e-14,8,1,1,7,0.0001583,4.1499999999999925e-06,0.0001535,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.3,S,8,1,1,3.168001031002357e-15,7.515818336606974e-16,9,1,1,8,0.0001758,8.049999999999979e-06,0.0001699,17840.0,17944.3,18085.0,18622.288500000002
H1,20,0.3,S,9,1,1,0.0,0.0,10,1,1,9,0.0001918,3.1499999999999957e-06,0.0001851,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.3,S,10,1,1,0.0,0.0,11,1,1,10,0.0002083,6.649999999999972e-06,0.0002013,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.3,S,11,1,1,0.0,0.0,12,1,1,11,0.000226,1.34e-05,0.0002198,22760.0,22882.18,23047.0,23676.3951
H1,20,0.3,S,12,1,1,0.0,0.0,13,1,1,12,0.000244,1.5000000000000012e-05,0.000235,24400.0,24528.14,24701.0,25361.0973
H1,20,0.3,S,13,1,1,0.0,0.0,14,1,1,13,0.0002597,9.549999999999988e-06,0.0002506,26040.0,26174.1,26355.0,27045.7995
H1,20,0.3,S,14,1,1,0.0,0.0,15,1,1,14,0.000276,1.0200000000000033e-05,0.0002697,27680.0,27820.059999999998,28009.0,28730.5017
H1,20,0.3,S,15,1,1,0.0,0.0,16,1,1,15,0.0002934,1.0700000000000043e-05,0.0002829,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.3,S,16,1,1,0.0,0.0,17,1,1,16,0.0003086,7.649999999999996e-06,0.0003,30960.0,31111.98,31317.0,32099.9061
H1,20,0.3,S,17,1,1,0.0,0.0,18,1,1,17,0.0003245,1.265000000000001e-05,0.0003166,32600.0,32757.94,32971.0,33784.6083
H1,20,0.3,S,18,1,1,0.0,0.0,19,1,1,18,0.0003422,1.0199999999999975e-05,0.0003318,34240.0,34403.9,34625.0,35469.3105
H1,20,0.3,S,19,1,1,0.0,0.0,20,1,1,19,0.0003629,1.3849999999999984e-05,0.0003475,35880.0,36049.86,36279.0,37154.0127
H1,20,0.3,S,20,1,1,0.0,0.0,21,1,1,20,0.0003767,1.0549999999999958e-05,0.0003638,37520.0,37695.82,37933.0,38838.7149
H5,200,0.3000000000000004,P,2,2,1,0.0,0.0,5,2,2,5,0.001679,0.0001019499999999,0.0015689,6331400.0,6343677.600000001,6360240.0,6423486.532
H5,200,0.3000000000000004,P,3,2,1,0.0,0.0,7,2,2,7,0.001757,7.689999999999997e-05,0.0017122,6663800.0,6676196.800000001,6692920.0,6756780.575999999
H5,200,0.3000000000000004,P,4,2,1,0.0,0.0,9,2,2,9,0.0018812,0.0001408499999999,0.0017612,6996200.0,7008716.000000001,7025600.0,7090074.619999999
