system,delta,tol,cycles_P7,cycles_M8,CPU_P7_ms,CPU_M8_ms,CPU_relative_P7_vs_M8,IQR_P7_ms,IQR_M8_ms,CPU_difference_clear_2IQR,work_P7,work_M8,work_relative_P7_vs_M8,residual_P7,residual_M8
H3,0.1000000000000004,1e-10,1,1,0.2906,0.28659999999999997,0.013956734124215053,0.015850000000000034,0.011350000000000032,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
H3,0.1000000000000004,1e-08,1,1,0.2837,0.2857,-0.007000350017500878,0.007300000000000015,0.014049999999999988,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
H3,0.3000000000000004,1e-12,1,1,0.2873,0.2856,0.005952380952380931,0.016249999999999987,0.011550000000000036,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
H3,0.3000000000000004,1e-10,1,1,0.2829,0.289,-0.02110726643598615,0.015599999999999946,0.01659999999999997,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
H3,0.3000000000000004,1e-08,1,1,0.2827,0.2853,-0.00911321416053279,0.014750000000000006,0.013099999999999992,0,675500.0,883400.0,-0.23534072900158476,0.0,0.0
H3,0.5999999999999996,1e-12,1,1,0.2869,0.2881,-0.004165220409580117,0.012349999999999948,0.016750000000000057,0,675500.0,883400.0,-0.23534072900158476,0.0,1.2985655382169284e-14
H3,0.5999999999999996,1e-10,1,1,0.2874,0.2948,-0.02510176390773411,0.014149999999999992,0.016750000000000057,0,675500.0,883400.0,-0.23534072900158476,0.0,1.2985655382169284e-14
H3,0.5999999999999996,1e-08,1,1,0.28659999999999997,0.29100000000000004,-0.015120274914089515,0.011549999999999984,0.01705000000000001,0,675500.0,883400.0,-0.23534072900158476,0.0,1.2985655382169284e-14
H4,0.0999999999999998,1e-12,1,1,0.5839000000000001,0.7361,-0.20676538513788878,0.03915000000000006,0.04950000000000007,0,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.0999999999999998,1e-10,1,1,0.5927,0.7546,-0.2145507553670819,0.052250000000000005,0.05969999999999999,0,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.0999999999999998,1e-08,1,1,0.5860000000000001,0.7278,-0.1948337455344875,0.037849999999999974,0.06919999999999994,0,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.3000000000000001,1e-12,1,1,0.6107,0.7728999999999999,-0.20985897270021991,0.07440000000000008,0.06630000000000004,0,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.3000000000000001,1e-10,1,1,0.5805,0.7263000000000001,-0.2007434944237919,0.021450000000000007,0.03749999999999999,1,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.3000000000000001,1e-08,1,1,0.5757,0.7273,-0.20844218341812182,0.044050000000000124,0.11405,0,1905850.0,2745800.0,-0.30590356180348166,0.0,0.0
H4,0.6000000000000001,1e-12,1,1,0.5947,0.7348,-0.19066412629286877,0.04710000000000012,0.1047,0,1905850.0,2745800.0,-0.30590356180348166,3.176902097406501e-16,2.475645437043813e-15
H4,0.6000000000000001,1e-10,1,1,0.5934,0.7404999999999999,-0.19864956110735987,0.03269999999999998,0.04404999999999991,0,1905850.0,2745800.0,-0.30590356180348166,3.176902097406501e-16,2.475645437043813e-15
H4,0.6000000000000001,1e-08,1,1,0.5929000000000001,0.7469,-0.2061855670103092,0.028699999999999996,0.1003,0,1905850.0,2745800.0,-0.30590356180348166,3.176902097406501e-16,2.475645437043813e-15
H5,0.0999999999999992,1e-12,1,1,1.1567999999999998,1.7986,-0.3568330924052041,0.09835000000000009,0.19755,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.0999999999999992,1e-10,1,1,1.0618999999999998,1.6241,-0.3461609506803769,0.051000000000000045,0.07375000000000004,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.0999999999999992,1e-08,1,1,1.0746,1.6324,-0.3417054643469738,0.05005000000000005,0.1133499999999,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.3000000000000004,1e-12,1,1,1.0842,1.6504,-0.34306834706737765,0.08184999999999985,0.11985,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.3000000000000004,1e-10,1,1,1.0882,1.6523,-0.3414028929371179,0.06975000000000015,0.1002,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.3000000000000004,1e-08,1,1,1.0526000000000002,1.6069,-0.34494990354097954,0.0650500000000001,0.08425000000000013,1,4039800.0,6206000.0,-0.3490493071221399,0.0,0.0
H5,0.5999999999999995,1e-12,1,1,1.0758,1.645,-0.3460182370820668,0.03515000000000007,0.1356999999999,1,4039800.0,6206000.0,-0.3490493071221399,0.0,5.558070087508391e-17
H5,0.5999999999999995,1e-10,1,1,1.0771000000000002,1.6515,-0.34780502573418093,0.036249999999999824,0.06455000000000002,1,4039800.0,6206000.0,-0.3490493071221399,0.0,5.558070087508391e-17
