kappa,system,n,N,q,p_reference,cost,eta
1.298,H5,200,5,6,41.420577856662135,6984352.600000001,5.331600536635027e-07
1.298,H5,200,5,7,44.91093483101497,7464710.2,5.09689083782096e-07
1.298,H5,200,6,2,20.80776406404415,5475501.0,5.543467509855829e-07
1.298,H5,200,6,3,27.78404875209022,6035918.2,5.507798416026302e-07
1.298,H5,200,6,4,34.76991603917054,6596335.4,5.379884914990315e-07
1.298,H5,200,6,5,41.760539492026695,7156752.600000001,5.214588334884325e-07
1.298,H5,200,6,6,48.75386567126981,7717169.800000001,5.036541362768806e-07
1.298,H5,200,6,7,55.49545416973504,8277587.0,4.85201920625687e-07
1.298,H5,200,6,8,59.93325909419152,8838004.2,4.631398109850734e-07
1.7,H1,20,2,2,8.531128874149275,14319.0,0.00014971169036821883
1.7,H1,20,2,3,10.898979485566356,16761.0,0.00014251352304006854
1.7,H1,20,2,4,11.65685424949238,19203.0,0.00012789118130495397
1.7,H1,20,3,2,11.65685424949238,18441.0,0.0001331757689170344
1.7,H1,20,3,3,15.615773105863909,21697.0,0.00012666642853719062
1.7,H1,20,3,4,19.165151389911678,24953.0,0.00011834623484520103
1.7,H1,20,3,5,20.807764064044157,28209.0,0.00010760133962098303
1.7,H1,20,4,2,14.72841614740048,22563.0,0.00011921192656377772
1.7,H1,20,4,3,19.69535971483266,26633.0,0.00011190564564742451
1.7,H1,20,4,4,24.67579566188592,30703.0,0.00010441399311040616
1.7,H1,20,4,5,29.317821063276355,34773.0,9.714995998456478e-05
1.7,H1,20,4,6,31.874507866387546,38843.0,8.912304826798957e-05
1.7,H1,20,5,2,17.774964387392124,26685.0,0.00010784301938036553
1.7,H1,20,5,3,23.747340124470732,31569.0,0.00010033483890682764
1.7,H1,20,5,4,29.730919862656236,36453.0,9.305647208967383e-05
1.7,H1,20,5,5,35.72004514666935,41337.0,8.65014882529457e-05
1.7,H1,20,5,6,41.420577856662135,46221.0,8.056463094742271e-05
1.7,H1,20,5,7,44.91093483101497,51105.0,7.444831821811695e-05
1.7,H1,20,6,2,20.80776406404415,30807.0,9.852715906671568e-05
1.7,H1,20,6,3,27.78404875209022,36505.0,9.106867744480024e-05
1.7,H1,20,6,4,34.76991603917054,42203.0,8.408768408093408e-05
1.7,H1,20,6,5,41.760539492026695,47901.0,7.790968585961266e-05
1.7,H1,20,6,6,48.75386567126981,53599.0,7.251598891996171e-05
1.7,H1,20,6,7,55.49545416973504,59297.0,6.773194445834053e-05
1.7,H1,20,6,8,59.93325909419152,64995.0,6.29776381979119e-05
1.7,H2,50,2,2,8.531128874149275,121822.5,1.7597091624145995e-05
1.7,H2,50,2,3,10.898979485566356,136927.5,1.7444773034449537e-05
1.7,H2,50,2,4,11.65685424949238,152032.5,1.615374577540349e-05
1.7,H2,50,3,2,11.65685424949238,149927.5,1.6380546294702647e-05
1.7,H2,50,3,3,15.615773105863909,170067.5,1.6159945315662458e-05
1.7,H2,50,3,4,19.165151389911678,190207.5,1.5525642249082196e-05
1.7,H2,50,3,5,20.807764064044157,210347.5,1.4430055928253535e-05
1.7,H2,50,4,2,14.72841614740048,178032.5,1.5108357738382132e-05
1.7,H2,50,4,3,19.69535971483266,203207.5,1.4666698131357638e-05
1.7,H2,50,4,4,24.67579566188592,228382.5,1.403707740509365e-05
1.7,H2,50,4,5,29.317821063276355,253557.5,1.3323193195008119e-05
1.7,H2,50,4,6,31.874507866387546,278732.5,1.2419816719878446e-05
1.7,H2,50,5,2,17.774964387392124,206137.5,1.3960540766066603e-05
1.7,H2,50,5,3,23.747340124470732,236347.5,1.340175178264903e-05
1.7,H2,50,5,4,29.730919862656236,266557.5,1.2725913084737364e-05
