family,n,delta,tol,macro_hat,macro_comp,CPU_hat_ms,CPU_comp_ms,CPU_relative_hat_vs_comp,IQR_hat_ms,IQR_comp_ms,CPU_clear_2IQR,work_hat,work_comp,work_relative_hat_vs_comp,residual_hat,residual_comp
G1,55,0.30000000000000016,1e-12,1,1,0.25120000000000003,0.20240000000000002,0.2411067193675891,0.008699999999999994,0.006950000000000033,1,165000.0,184140.0,-0.10394265232974909,0.0,0.0
G1,55,0.30000000000000016,1e-10,1,1,0.25720000000000004,0.2033,0.26512543039842607,0.016300000000000016,0.010499999999999985,1,165000.0,184140.0,-0.10394265232974909,0.0,0.0
G1,55,0.30000000000000016,1e-08,1,1,0.25120000000000003,0.2021,0.24294903513112343,0.00924999999999998,0.01155000000000001,1,165000.0,184140.0,-0.10394265232974909,0.0,0.0
G1,55,0.6000000000000001,1e-12,1,1,0.2539,0.20280000000000004,0.251972386587771,0.012849999999999907,0.015000000000000012,0,165000.0,184140.0,-0.10394265232974909,1.2046555947547255e-16,5.679412666893312e-17
G1,55,0.6000000000000001,1e-10,1,1,0.25520000000000004,0.20270000000000002,0.25900345337937836,0.016350000000000045,0.013850000000000012,0,165000.0,184140.0,-0.10394265232974909,1.2046555947547255e-16,5.679412666893312e-17
G1,55,0.6000000000000001,1e-08,1,1,0.2522,0.20800000000000002,0.2124999999999999,0.01654999999999994,0.011350000000000004,0,165000.0,184140.0,-0.10394265232974909,1.2046555947547255e-16,5.679412666893312e-17
G1,100,0.10000000000000042,1e-12,1,1,0.33990000000000004,0.3042,0.11735700197238663,0.016750000000000057,0.014700000000000086,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.10000000000000042,1e-10,1,1,0.3438,0.3042,0.1301775147928994,0.02440000000000005,0.014800000000000035,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.10000000000000042,1e-08,1,1,0.3546,0.3084,0.14980544747081703,0.027349999999999985,0.03274999999999995,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.3000000000000004,1e-12,1,1,0.3443,0.30920000000000003,0.11351875808538159,0.03845000000000004,0.021699999999999987,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.3000000000000004,1e-10,1,1,0.34,0.2992,0.13636363636363646,0.012799999999999985,0.008000000000000031,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.3000000000000004,1e-08,1,1,0.3405,0.30160000000000003,0.12897877984084882,0.020849999999999994,0.011849999999999989,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.5999999999999996,1e-12,1,1,0.33870000000000006,0.3007,0.1263717991353508,0.014349999999999996,0.010000000000000026,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.5999999999999996,1e-10,1,1,0.34500000000000003,0.30410000000000004,0.13449523183163437,0.026300000000000042,0.020850000000000046,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,100,0.5999999999999996,1e-08,1,1,0.34600000000000003,0.3009,0.14988368228647397,0.015449999999999969,0.009949999999999997,0,694500.0,907800.0,-0.2349636483807006,0.0,0.0
G1,200,0.09999999999999927,1e-12,1,1,1.2698000000000003,1.8369,-0.3087266590451303,0.11005,0.11749999999999998,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.09999999999999927,1e-10,1,1,1.2416,1.7705000000000002,-0.2987291725501271,0.05469999999999997,0.1263499999999999,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.09999999999999927,1e-08,1,1,1.2982,1.7922,-0.27563887958933153,0.07925000000000011,0.1198000000000002,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.3000000000000004,1e-12,1,1,1.2683,1.7767000000000002,-0.28614847751449324,0.09470000000000008,0.10745000000000025,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.3000000000000004,1e-10,1,1,1.2505000000000002,1.7688000000000001,-0.2930235187697874,0.09580000000000005,0.13265,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.3000000000000004,1e-08,1,1,1.2583000000000002,1.7735,-0.2904990132506343,0.07390000000000001,0.15329999999999988,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.5999999999999995,1e-12,1,1,1.2729,1.8208,-0.30091168717047456,0.07474999999999973,0.18125,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.5999999999999995,1e-10,1,1,1.2432,1.7661,-0.29607609988109396,0.07605000000000003,0.12300000000000007,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G1,200,0.5999999999999995,1e-08,1,1,1.2599,1.7891000000000001,-0.2957911799228663,0.12695000000000004,0.12455000000000019,1,4109000.0,6295600.0,-0.3473219391320923,0.0,0.0
G5,40,0.10000000000000006,1e-12,1,1,0.23960000000000004,0.18800000000000003,0.274468085106383,0.013450000000000002,0.014999999999999986,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
